Name	LATITUDE_S	LONGITUDE_	Length	AV_RGH_IRI	ALLVEHS_AA	TRUCKS_AAD	Name_2	LATITUDE_S_2	LONGITUDE__2	Length_2	AV_RGH_IRI_2	ALLVEHS_AA_2	TRUCKS_AAD_2	closestWindex	rainfall	Above_30_days	Above_37_5_days	dayspassed	ALLVEHS_AA_avg	TRUCKS_AAD_avg	IRI_increase
2000_R_21389_21490_19-01-2012_1	-37.901741	145.151837	101	1.05	88000	10000	2000_R_21400_21500_07-02-2014_1	-37.901728	145.151837	100	1.21	88000	10000	86303	1837.5	75	12	750	88000	10000	0.16
2000_R_28620_28720_19-01-2012_1	-37.876954	145.078965	100	1.11	85000	9100	2000_R_28600_28700_07-02-2014_1	-37.876987	145.079147	100	1.175	85000	9100	86018	1500.4	75	12	750	85000	9100	0.0649999999999999
2000_R_2912_3012_19-01-2012_1	-38.010786	145.301636	100	1.19	53000	3500	2000_R_2900_3000_07-02-2014_1	-38.010874	145.301697	100	1.32	53000	3500	86224	1716.2	75	12	750	53000	3500	0.13
2000_R_28921_29021_19-01-2012_1	-37.877016	145.075563	100	0.895	85000	9100	2000_R_28900_29000_07-02-2014_1	-37.877002	145.075759	100	0.92	85000	9100	86018	1500.4	75	12	750	85000	9100	0.025
2000_R_3615_3715_19-01-2012_1	-38.005004	145.298395	100	0.9	53000	3500	2000_R_3600_3700_07-02-2014_1	-38.005114	145.298487	100	1.05	53000	3500	86224	1716.2	75	12	750	53000	3500	0.15
2000_R_22092_22193_19-01-2012_1	-37.896598	145.147232	101	0.935	89000	8500	2000_R_22100_22200_07-02-2014_1	-37.896598	145.147243	100	0.96	89000	8500	86303	1837.5	75	12	750	89000	8500	0.0249999999999999
2000_R_2410_2510_19-01-2012_1	-38.014554	145.304783	100	2.16	53000	3500	2000_R_2400_2500_07-02-2014_1	-38.01461	145.304846	100	2.275	53000	3500	86224	1716.2	75	12	750	53000	3500	0.115
2000_R_23599_23699_19-01-2012_1	-37.893049	145.131076	100	2.775	90000	8700	2000_R_23600_23700_07-02-2014_1	-37.893054	145.131134	100	2.87	90000	8700	86088	1547.6	75	12	750	90000	8700	0.0950000000000002
2000_R_26812_26913_19-01-2012_1	-37.885002	145.09656	101	1.125	86000	9300	2000_R_26800_26900_07-02-2014_1	-37.885017	145.096697	100	1.16	86000	9300	86088	1547.6	75	12	750	86000	9300	0.0349999999999999
2000_R_19682_19783_19-01-2012_1	-37.912617	145.165411	101	0.87	84000	8000	2000_R_19700_19800_07-02-2014_1	-37.912581	145.16538	100	0.945	84000	8000	86111	1517.8	75	12	750	84000	8000	0.075
2000_R_17373_17473_19-01-2012_1	-37.927997	145.18296	100	1.435	84000	8000	2000_R_17400_17500_07-02-2014_1	-37.927939	145.182897	100	1.65	84000	8000	86111	1517.8	75	12	750	84000	8000	0.215
2000_R_17272_17373_19-01-2012_1	-37.92864	145.183761	101	0.775	84000	8000	2000_R_17300_17400_07-02-2014_1	-37.928578	145.183697	100	0.89	84000	8000	86111	1517.8	75	12	750	84000	8000	0.115
2000_R_19180_19281_19-01-2012_1	-37.916098	145.169032	101	0.635	84000	8000	2000_R_19200_19300_07-02-2014_1	-37.916055	145.168996	100	0.645	84000	8000	86111	1517.8	75	12	750	84000	8000	0.01
2000_R_4217_4318_19-01-2012_1	-38.001189	145.293601	101	0.755	52000	3500	2000_R_4200_4300_07-02-2014_1	-38.001274	145.29378	100	0.83	52000	3500	86224	1716.2	75	12	750	52000	3500	0.075
2000_R_27917_28017_19-01-2012_1	-37.880158	145.085784	100	0.845	85000	9100	2000_R_27900_28000_07-02-2014_1	-37.880241	145.085917	100	0.95	85000	9100	86088	1547.6	75	12	750	85000	9100	0.105
2000_R_21088_21189_19-01-2012_1	-37.903936	145.153841	101	0.8	75000	8900	2000_R_21100_21200_07-02-2014_1	-37.903918	145.153829	100	0.855	75000	8900	86303	1837.5	75	12	750	75000	8900	0.0549999999999999
2000_R_28519_28620_19-01-2012_1	-37.877216	145.080055	101	1.045	85000	9100	2000_R_28500_28600_07-02-2014_1	-37.87728	145.080221	100	1.175	85000	9100	86018	1500.4	75	12	750	85000	9100	0.13
